City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-02-04 15:18:50,64.3833,-173.3,-0.45,65,7,16.6
1,Port Alfred,ZA,2022-02-04 15:18:50,-33.5906,26.891,69.42,75,100,10.47
2,Saint George,US,2022-02-04 15:15:21,37.1041,-113.5841,33.35,51,0,4.0
3,Kulu,TR,2022-02-04 15:18:51,39.0951,33.0799,27.05,78,16,12.17
4,Pervomayskoye,RU,2022-02-04 15:18:51,43.919,46.7102,43.83,77,100,6.42
5,Saint-Philippe,RE,2022-02-04 15:18:52,-21.3585,55.7679,81.95,87,100,27.98
6,Punta Arenas,CL,2022-02-04 15:18:19,-53.15,-70.9167,51.91,43,0,10.36
7,Osoyoos,CA,2022-02-04 15:15:21,49.0331,-119.4524,30.34,80,100,8.05
8,Rikitea,PF,2022-02-04 15:17:43,-23.1203,-134.9692,77.77,73,100,12.08
9,Sorong,ID,2022-02-04 15:18:52,-0.8833,131.25,81.27,81,100,10.87
10,Balkanabat,TM,2022-02-04 15:18:52,39.5108,54.3671,59.34,31,74,4.14
11,Roald,NO,2022-02-04 15:18:53,62.5833,6.1333,39.25,93,100,24.16
12,Nordby,DK,2022-02-04 15:18:53,55.446,8.3979,37.81,96,100,10.36
13,Narasannapeta,IN,2022-02-04 15:18:53,18.4167,84.05,73.42,84,1,9.46
14,Ocos,GT,2022-02-04 15:18:53,14.5094,-92.1933,87.73,62,1,10.54
15,Pak Phanang,TH,2022-02-04 15:18:54,8.3511,100.202,79.07,81,6,11.18
16,Puerto Ayora,EC,2022-02-04 15:18:54,-0.7393,-90.3518,78.76,93,16,4.0
17,Mataura,NZ,2022-02-04 15:18:54,-46.1927,168.8643,49.48,99,100,1.79
18,Barrow,US,2022-02-04 15:18:55,71.2906,-156.7887,-29.18,99,0,8.05
19,Port Hedland,AU,2022-02-04 15:18:55,-20.3167,118.5667,84.25,84,75,5.75
20,Hobart,AU,2022-02-04 15:15:02,-42.8794,147.3294,59.25,85,100,5.75
21,Vaini,TO,2022-02-04 15:18:55,-21.2,-175.2,77.16,100,100,6.91
22,Avera,US,2022-02-04 15:18:56,33.194,-82.5271,64.27,94,100,10.58
23,Bereda,ES,2022-02-04 15:18:56,43.2686,-7.5406,53.42,90,100,3.98
24,Zhigansk,RU,2022-02-04 15:18:56,66.7697,123.3711,-37.59,100,80,3.13
25,Ndjole,GA,2022-02-04 15:18:57,-0.1783,10.7649,86.07,65,85,3.78
26,Mazamitla,MX,2022-02-04 15:18:57,19.9167,-103.0333,56.28,34,4,0.58
27,Mangan,IN,2022-02-04 15:18:57,27.5167,88.5333,47.88,99,100,0.96
28,Nouna,BF,2022-02-04 15:18:58,12.7333,-3.8667,92.41,6,12,9.62
29,Turan,VN,2022-02-04 15:18:58,16.0678,108.2208,67.98,83,75,4.61
30,Tiksi,RU,2022-02-04 15:18:58,71.6872,128.8694,-18.62,99,98,6.13
31,Vila Franca Do Campo,PT,2022-02-04 15:18:59,37.7167,-25.4333,65.19,63,100,11.5
32,Hilo,US,2022-02-04 15:17:32,19.7297,-155.09,68.25,76,0,6.91
33,Vila Velha,BR,2022-02-04 15:18:59,-20.3297,-40.2925,78.75,83,75,20.71
34,Bambous Virieux,MU,2022-02-04 15:18:59,-20.3428,57.7575,80.22,94,75,17.27
35,Rio Gallegos,AR,2022-02-04 15:17:25,-51.6226,-69.2181,50.05,43,40,10.36
36,Albany,US,2022-02-04 15:19:00,42.6001,-73.9662,29.75,86,100,1.99
37,Soyo,AO,2022-02-04 15:17:37,-6.1349,12.3689,82.02,64,92,10.18
38,Khandbari,NP,2022-02-04 15:19:00,27.3747,87.2039,48.67,94,99,2.13
39,Sao Joao Do Paraiso,BR,2022-02-04 15:19:00,-15.3136,-42.0144,81.09,61,75,2.93
40,Airai,TL,2022-02-04 15:19:01,-8.9266,125.4092,61.34,90,100,1.97
