City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,56.82,64,26,7.29,scattered clouds
80,Ilulissat,GL,69.2167,-51.1,1.62,85,100,7.83,overcast clouds
81,Muros,ES,42.7762,-9.0603,50.23,82,4,13.96,clear sky
82,Vaini,TO,-21.2,-175.2,77.16,94,100,9.22,light rain
83,Pemangkat,ID,1.1667,108.9667,81.27,83,100,13.35,overcast clouds
84,Utica,US,43.1009,-75.2327,12.72,98,100,3.44,overcast clouds
85,Port-De-Bouc,FR,43.4,4.9833,51.82,71,0,17.27,clear sky
86,Bethel,US,41.3712,-73.414,26.47,85,100,8.68,overcast clouds
87,Nador,MA,35.174,-2.9287,61.05,55,0,8.05,clear sky
88,Olafsvik,IS,64.8945,-23.7142,28.71,61,100,29.55,overcast clouds
89,Mount Isa,AU,-20.7333,139.5,92.97,18,5,8.05,clear sky
90,Ilembo,TZ,-9.25,33.3833,57.58,90,100,4.97,overcast clouds
91,Tefe,BR,-3.3542,-64.7114,71.58,100,100,1.79,moderate rain
92,Barrow,US,71.2906,-156.7887,-11.29,99,100,6.73,overcast clouds
93,Ilave,PE,-16.0833,-69.6667,41.5,77,100,5.21,overcast clouds
94,Ilebo,CD,-4.3167,20.5833,74.32,88,100,0.94,overcast clouds
95,Atbasar,KZ,51.8,68.3333,14.4,79,98,8.79,overcast clouds
96,Avarua,CK,-21.2078,-159.775,78.85,83,20,8.05,few clouds
97,Souillac,MU,-20.5167,57.5167,83.35,83,75,19.57,light rain
98,Whitehorse,CA,60.7161,-135.0538,0.81,77,75,15.01,broken clouds
99,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,17,3.4,few clouds
100,Carnarvon,AU,-24.8667,113.6333,93.27,43,52,16.11,broken clouds
101,Norman Wells,CA,65.282,-126.8329,-10.26,95,100,5.08,overcast clouds
102,Oga,IT,46.4631,10.347,23.68,96,94,6.42,overcast clouds
103,Northam,GB,51.0333,-4.2167,46.26,80,75,14.67,broken clouds
104,Dunedin,NZ,-45.8742,170.5036,56.8,61,62,4.0,broken clouds
105,Taree,AU,-31.9,152.4667,73.33,64,75,16.11,broken clouds
106,Ponta Do Sol,PT,32.6667,-17.1,63.23,66,7,5.97,clear sky
107,Salalah,OM,17.0151,54.0924,76.57,61,0,6.06,clear sky
108,Golspie,GB,57.9727,-3.978,42.55,89,100,14.81,moderate rain
109,Komsomolskiy,UZ,40.4272,71.7189,44.02,33,0,2.3,clear sky
110,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,100,8.05,overcast clouds
111,Moroni,KM,-11.7022,43.2551,82.4,78,75,4.61,light rain
112,New Norfolk,AU,-42.7826,147.0587,68.9,49,100,1.99,overcast clouds
113,Airai,TL,-8.9266,125.4092,68.04,82,100,3.36,overcast clouds
114,Ust-Kuyga,RU,70.0167,135.6,-38.43,99,100,4.07,overcast clouds
115,Torbat-E Jam,IR,35.244,60.6225,60.48,28,14,16.33,few clouds
116,Mwinilunga,ZM,-11.7358,24.4293,64.4,90,100,6.17,overcast clouds
117,Aurangabad,IN,19.8833,75.3333,75.29,35,97,2.3,haze
118,Mahebourg,MU,-20.4081,57.7,83.25,83,75,19.57,broken clouds
119,Haines Junction,CA,60.7522,-137.5108,-13.05,77,100,1.14,overcast clouds
120,Korla,CN,41.7597,86.1469,30.43,32,100,8.25,overcast clouds
121,Gigmoto,PH,13.7796,124.39,79.11,77,98,16.91,overcast clouds
122,Njombe,TZ,-9.3333,34.7667,59.47,87,100,6.76,overcast clouds
123,Pandan,PH,14.0453,124.1694,78.44,78,100,18.03,light rain
124,Aljezur,PT,37.3191,-8.8033,48.72,86,65,7.78,broken clouds
125,Chuy,UY,-33.6971,-53.4616,67.46,96,100,3.62,light rain
126,Salinas,US,36.6777,-121.6555,54.19,65,0,8.05,clear sky
127,Tres Lagoas,BR,-20.7511,-51.6783,72.28,93,100,4.29,overcast clouds
128,Hermanus,ZA,-34.4187,19.2345,72.9,63,2,21.12,clear sky
129,Alushta,UA,44.6667,34.4167,35.51,83,92,0.87,overcast clouds
130,Provideniya,RU,64.3833,-173.3,0.7,72,0,10.0,clear sky
